transaction_id,customer_id,customer_email,customer_country,product_category,product_name,unit_price,quantity,discount_applied,final_amount,payment_method,order_status,order_date,shipping_address
TRX-10013,8d3aed99-711c-41c9-bdc1-4f1f295d6fbf,hhoffman@example.org,Western Sahara,Electronics,Team-oriented coherent moratorium,1430.95,3,981.3,3311.55,Bank Transfer,Pending,2025-09-17 03:00:00,"826 Bobby Lakes Apt. 533, West Kimberlychester, RI 98736"
TRX-10014,3c9ad14c-ee0c-4eb5-acfe-db992790cebd,theresacochran@example.com,Anguilla,Clothing,Enhanced user-facing groupware,811.37,5,728.95,3327.9,Credit Card,Cancelled,2025-09-08 00:00:00,"342 Patrick Camp Suite 337, Kevinbury, IN 03602"
TRX-10015,5408f9ac-6601-4dd0-b170-f437a8f7ef5a,michelle45@example.net,Malawi,Home & Garden,Open-architected systematic monitoring,362.98,2,206.23,519.73,Gift Card,Completed,2025-02-13 23:00:00,"42940 Candace Key, Samuelhaven, DE 50989"
TRX-10016,41357e8c-30a9-40ad-939b-462de645f129,fletcheraaron@example.net,Poland,Books,Up-sized user-facing support,1149.92,2,653.28,1646.56,Gift Card,Pending,2025-03-26 08:00:00,"1595 Jennifer Hills Suite 656, Angelaborough, MT 87654"
TRX-10017,bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,christinaturner@example.net,Syrian Arab Republic,Toys,Adaptive exuding forecast,1036.35,3,0.0,3109.05,Bank Transfer,Refunded,2025-12-10 20:00:00,"7738 Leon Underpass Apt. 148, Clarencebury, TX 41188"
TRX-10018,25b8fd4b-32fa-4de8-8e7a-e7f639820cff,williamstracey@example.net,Thailand,Sports,Visionary asynchronous knowledgebase,185.9,2,0.0,371.8,PayPal,Pending,2025-01-11 18:00:00,"676 Dylan Spurs, Port Michelleville, WI 56225"
TRX-10019,f53d4330-cdda-44ba-ad06-e8cf3805f907,pwilliams@example.org,Korea,,Devolved maximized secured line,1063.22,1,0.0,1063.22,Credit Card,Pending,2025-01-17 10:00:00,"9868 Merritt Summit Suite 743, Katiehaven, NM 82650"
TRX-10020,13d5f2f7-709b-4d97-864c-04af3d3f3799,jimmy55@example.net,Belgium,Sports,Devolved coherent emulation,325.28,2,172.21,478.35,PayPal,Refunded,2025-10-23 15:00:00,"316 Rivera Mountain, Brownchester, MS 77057"
TRX-10021,db52ca58-0500-4bc6-b20d-cb6ef2311f17,wwoods@example.com,Sao Tome and Principe,Clothing,Networked intangible monitoring,146.02,4,0.0,584.08,Credit Card,Completed,2025-07-30 14:00:00,"3467 Paul Skyway, Ramseymouth, PW 17229"
TRX-10022,06e745f9-88bc-439c-9f4c-3b79fb10987f,qvargas@example.org,Belize,Toys,Stand-alone interactive challenge,512.26,1,0.0,512.26,Gift Card,Pending,2025-04-08 17:00:00,"46537 Rogers Light, Karenchester, KS 11236"
TRX-10023,8a175dfe-bfc0-4dc8-84f6-4d8678660765,cookemichael@example.net,Bangladesh,Home & Garden,Vision-oriented solution-oriented analyzer,696.63,1,0.0,696.63,Credit Card,Completed,2025-10-09 03:00:00,"09232 Caldwell Port, South Holly, WI 48852"
TRX-10024,f6b751f7-9b74-4245-9b1b-c8952af43ab7,stricklandfrank@example.com,Botswana,Clothing,Reduced 4thgeneration function,253.64,4,0.0,1014.56,PayPal,Refunded,2025-07-25 01:00:00,"3193 Heidi Hollow Apt. 905, Stanleyland, NY 85375"
TRX-10025,6b88f83d-d97d-49cd-833d-2bce575aed2c,xgarcia@example.net,Uganda,,Persevering tertiary collaboration,588.68,4,0.0,2354.72,Gift Card,Pending,2025-12-23 23:00:00,"877 Petersen Ramp Suite 531, Nicolebury, WV 61411"
TRX-10026,6105716b-ab0e-464e-9c3e-b2d591e1aa96,anthony52@example.com,Croatia,Clothing,Multi-channeled empowering Graphical User Interface,1453.22,5,132.88,7133.22,Credit Card,Refunded,2025-06-10 01:00:00,"083 John Lodge Suite 837, Westtown, CO 39067"
TRX-10027,3e493f43-b118-468d-a786-d50638ba8abc,elizabeth57@example.net,Marshall Islands,Books,Monitored interactive synergy,240.36,5,0.0,1201.8,Credit Card,Pending,2025-04-06 02:00:00,"744 Hall Stravenue Apt. 518, East Javier, NJ 36742"
TRX-10028,c29cfc0c-fa02-4aec-96ef-2ad6b97e6703,tina34@example.org,Guyana,Books,Enhanced exuding access,373.09,5,0.0,1865.45,Bank Transfer,Cancelled,2025-02-11 13:00:00,"0084 Dana Terrace, Garciatown, OK 37769"
TRX-10029,5738811d-70c2-403f-ba8d-03aa782a65e0,tammyking@example.com,Brazil,Toys,Cloned impactful matrix,474.7,3,0.0,1424.1,Bank Transfer,Refunded,2025-12-10 20:00:00,"29413 Angela Mall, Port Alexandra, NV 58529"
TRX-10030,fd72b050-96a9-454f-9c33-e1f94c1f55ab,ntorres@example.org,New Zealand,Electronics,User-centric bandwidth-monitored task-force,18.93,5,28.28,66.37,PayPal,Cancelled,2025-02-07 17:00:00,"1232 Eric Lodge, Norrisfort, LA 04779"
TRX-10031,48603b32-b4fb-4eb9-89c1-3de73b4206c5,ojones@example.com,Solomon Islands,Home & Garden,Self-enabling optimizing protocol,1321.89,2,0.0,2643.78,,Completed,2025-03-22 14:00:00,"1832 Serrano Cliffs, East Laurashire, PW 38329"
TRX-10032,b04d3376-77fc-4703-9fd5-a423706c5c56,holly48@example.net,Lithuania,Books,Organic attitude-oriented policy,452.57,1,18.23,434.34,PayPal,Cancelled,2025-03-01 03:00:00,"594 Christopher Spring Apt. 490, South April, NV 36959"
TRX-10033,6f962882-95d8-4980-bf37-d19c2e76128b,ecosta@example.com,Ireland,Clothing,Managed fresh-thinking secured line,1077.83,2,551.58,1604.08,Bank Transfer,Completed,2025-09-16 15:00:00,"6746 Shawn Island, Marcusfurt, VI 67950"
TRX-10034,a85c6e4a-004b-4fab-bcf5-6188d32e6dcd,mgutierrez@example.net,Guyana,Sports,Secured web-enabled methodology,1244.88,1,0.0,1244.88,Bank Transfer,Pending,2025-03-08 20:00:00,"48247 Martinez Roads, Lake Eric, OH 02293"
TRX-10035,3985fb62-17dc-4eff-a872-13f98d605936,murraydavid@example.org,Luxembourg,Books,Universal explicit migration,1059.97,5,0.0,5299.85,PayPal,Completed,2025-02-08 22:00:00,"7378 Patrick Rapid Apt. 146, Sarahhaven, KY 00837"
TRX-10036,d664d264-4c6e-47ff-b9de-7a3a486822b9,cgrimes@example.net,Liberia,Books,Monitored full-range neural-net,831.03,4,0.0,3324.12,Credit Card,Cancelled,2025-06-07 11:00:00,"5339 Hall Trail Suite 057, Hughesberg, NM 05353"
TRX-10037,9716108e-f721-49bb-8096-27182051acef,molly71@example.net,United States Minor Outlying Islands,Clothing,Persevering 24/7 success,1002.07,3,797.37,2208.84,,Pending,2025-07-28 19:00:00,"74596 Melissa Walk, Finleyfort, VI 71413"
TRX-10038,3c19e71d-1184-45ad-9e11-d2cd0930aef6,wendy16@example.org,Senegal,Clothing,Sharable tertiary attitude,1322.72,1,0.0,1322.72,PayPal,Cancelled,2025-06-20 13:00:00,"05045 Jordan Gardens Suite 922, North Chelsea, MS 81727"
TRX-10039,e9af299d-7f67-4eec-bda7-0577aee1e86b,jesselittle@example.com,Equatorial Guinea,Toys,Synchronized 24/7 website,166.6,1,11.12,155.48,Bank Transfer,Pending,2025-08-24 11:00:00,"821 Landry Radial Suite 647, Jamesfurt, PR 63836"
TRX-10040,92698698-61a1-4729-bcb9-83501b4da0fe,bailey40@example.net,Indonesia,Toys,Grass-roots 24/7 open system,293.73,3,0.0,881.19,Bank Transfer,Refunded,2025-02-05 08:00:00,"743 Robinson Field, Ericaberg, SC 13236"
TRX-10041,0a17991e-a576-4411-a0a1-1839e7457704,kristina09@example.com,Saint Martin,Books,De-engineered background frame,500.07,1,0.0,500.07,Bank Transfer,Completed,2025-05-14 05:00:00,"32858 Rivas Glens Suite 451, Mccartyberg, WV 30072"
TRX-10042,aca5e2fd-b966-442a-ad23-8d36dc322c97,zcoffey@example.net,Haiti,Sports,Cross-group hybrid access,521.8,3,0.0,1565.4,Gift Card,Pending,2025-09-19 03:00:00,"5496 Rodriguez Fort, Johnsonside, MD 80465"
TRX-10043,a2a9d4d8-102e-4de5-a5cc-8bf738ab854c,tblankenship@example.net,Ireland,Toys,Customizable client-driven analyzer,656.91,5,530.57,2753.98,Bank Transfer,Refunded,2025-12-10 06:00:00,"USNV Ferrell, FPO AE 13240"
TRX-10044,22bae10e-899c-4782-a323-6d1a3c1bdacc,qchavez@example.net,Qatar,Toys,Quality-focused intangible parallelism,1381.55,5,0.0,6907.75,Bank Transfer,Cancelled,2025-03-05 23:00:00,"1796 Johnson Land, South Sean, IA 48038"
TRX-10045,5e09a9ee-af88-4dec-bb1e-143b196f4dfa,bruce43@example.org,Yemen,Home & Garden,Persevering background protocol,606.59,3,0.0,1819.77,Gift Card,Pending,2025-04-09 13:00:00,"53293 Maria Plaza, New Jason, VI 31040"
TRX-10046,c9e48e8c-25c6-4c45-863d-04ee541c7a86,,Mauritius,Home & Garden,Function-based context-sensitive budgetary management,612.08,1,0.0,612.08,Bank Transfer,Refunded,2025-04-18 13:00:00,"05395 Grant Center, Lake Robert, DE 98236"
TRX-10047,c72c1fe3-72c2-4a16-b9eb-4168104556e5,william17@example.net,Cyprus,Toys,Seamless 6thgeneration superstructure,324.48,4,373.74,924.18,Credit Card,Cancelled,2025-03-28 21:00:00,"0076 Parks Overpass Suite 115, North David, RI 83479"
TRX-10048,533f5a72-b64f-454a-8c61-165495da75c1,hvang@example.com,Korea,Toys,Profit-focused real-time Internet solution,930.79,1,209.75,721.04,PayPal,Pending,2025-12-11 09:00:00,"836 Beasley Loop, Mariafurt, MT 96132"
TRX-10049,50018b7b-6d40-47f4-9003-2b3518578baf,nicholas27@example.org,Bermuda,Electronics,Configurable background Internet solution,371.04,4,342.17,1141.99,PayPal,Refunded,2025-08-22 13:00:00,"80988 Santiago Loop Suite 604, Michaelshire, NY 28385"
TRX-10050,39681c81-7b70-43b8-a81f-dec3279c658a,bellangela@example.org,Serbia,Clothing,Grass-roots object-oriented definition,225.62,1,58.24,167.38,PayPal,Pending,2025-02-24 13:00:00,"402 Park Inlet, Michaelburgh, VI 19277"
TRX-10051,11d059b2-6699-4d99-a847-bce790fa6b57,joycebonilla@example.org,San Marino,Toys,Progressive didactic implementation,779.35,1,0.0,779.35,PayPal,Refunded,2025-03-04 14:00:00,"54599 Nicole Drives Apt. 901, Scottchester, NM 80071"
TRX-10052,372f871a-45ee-432d-aa07-f2137129cec7,reeddaniel@example.net,Philippines,Books,Reverse-engineered mobile moderator,895.2,4,772.67,2808.13,,Pending,2025-09-16 13:00:00,"69003 Dougherty Trafficway, Port Jonathan, MD 16227"
TRX-10053,6e3f683a-bf3c-4140-bf54-a51101fa964e,davidpatel@example.org,Macao,Sports,Realigned static workforce,677.85,2,112.79,1242.91,PayPal,Cancelled,2025-09-24 15:00:00,"060 Morse Wall Suite 969, Mckinneychester, LA 15597"
TRX-10054,532401fc-f758-4ce2-8556-daea67b03283,lauriemontgomery@example.net,Uruguay,Toys,Multi-lateral background Internet solution,432.16,3,0.0,1296.48,PayPal,Pending,2025-10-04 02:00:00,"9681 Harrell Summit, Jeffreyburgh, CA 67411"
TRX-10055,828c37e7-87d5-47be-9d30-d990a21b0307,rebeccabailey@example.net,Svalbard & Jan Mayen Islands,Toys,Stand-alone client-server encoding,233.44,2,0.0,466.88,Gift Card,Refunded,2025-07-28 10:00:00,"29212 Marshall Port Suite 995, Edwardland, NJ 58462"
TRX-10056,46510367-cbdc-4318-8d85-a3d2a1a27485,bellcharles@example.com,Korea,Sports,Automated analyzing hub,587.27,5,17.21,2919.14,Gift Card,Completed,2025-10-22 12:00:00,"199 Ford Plaza, South Reginashire, SD 25173"
TRX-10057,80599b93-79c2-42e4-9ae1-a991524f93ff,susanhayes@example.com,Rwanda,Home & Garden,Configurable motivating project,1131.45,4,0.0,4525.8,PayPal,Refunded,2025-10-07 19:00:00,"778 Michael Haven, Ortizmouth, TX 78867"
TRX-10058,a5b5cdc2-a181-485e-8a0a-c6ac0d67d38e,cameron18@example.net,Hungary,Sports,Horizontal eco-centric success,731.03,4,0.0,2924.12,PayPal,Refunded,2025-12-14 12:00:00,"1925 Ponce Square, Andersonland, ME 73760"
TRX-10059,54170a17-caaa-4bbe-a4bb-f962606e0e1c,elizabethcalderon@example.net,Poland,Books,Progressive background project,803.51,4,0.0,3214.04,Credit Card,Refunded,2025-12-06 00:00:00,"54235 Lee Dam Apt. 141, Lake Matthewberg, PA 49878"
TRX-10060,d4d30795-2e4b-4bc4-a989-0880277d1be9,jenniferwilliams@example.com,Philippines,Sports,Up-sized disintermediate intranet,276.68,3,0.0,830.04,Bank Transfer,Cancelled,2025-04-19 14:00:00,"83473 Gregory Ports Suite 746, Burchborough, AS 79755"
TRX-10061,0d5ba7cd-4000-45f0-9f7d-0dd7236e1608,jsawyer@example.org,Rwanda,Sports,Programmable bottom-line forecast,420.99,4,0.0,1683.96,Credit Card,Completed,2025-02-11 15:00:00,"7826 Stacey Forges, Wilkersontown, MT 07481"
TRX-10062,3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,xvang@example.org,Antarctica (the territory South of 60 deg S),Home & Garden,Intuitive bandwidth-monitored structure,340.21,1,66.52,273.69,PayPal,Completed,2025-01-16 07:00:00,"04727 Gilbert Common, West Jasonberg, OH 95821"
TRX-10063,1c76bdf6-6c5a-4c93-871c-08849bdf90f2,john10@example.org,Italy,Clothing,Sharable regional knowledgebase,193.7,1,0.0,193.7,Bank Transfer,Cancelled,2025-04-22 14:00:00,"808 Jennifer Highway Suite 095, New Robert, TN 88085"
TRX-10064,5c508720-f982-44e0-8603-156a15eacbcf,ashleyamy@example.net,Micronesia,Books,Ameliorated human-resource leverage,1445.78,1,71.03,1374.75,Credit Card,Cancelled,2025-06-09 03:00:00,"4051 Allen Shoals Apt. 952, West Amyburgh, MP 90243"
TRX-10065,7a8104de-b205-47bb-bb16-f75776f186ab,lisabrown@example.com,Argentina,Sports,Implemented dedicated analyzer,598.0,2,0.0,1196.0,PayPal,Completed,2025-12-20 20:00:00,"4868 King Terrace, West Michael, WI 06766"
TRX-10066,45f18619-54f9-4429-a7de-02ccdda4f4a7,lloydsamuel@example.com,Samoa,Home & Garden,Organic human-resource Graphical User Interface,1276.19,5,1524.21,4856.74,Bank Transfer,Refunded,2025-10-17 01:00:00,"Unit 7758 Box 4161, DPO AA 79465"
TRX-10067,8ba435cc-2e32-4567-9284-f54efebec0db,manuel15@example.net,French Polynesia,Electronics,Integrated local portal,761.41,3,0.0,2284.23,Credit Card,Refunded,2025-08-04 15:00:00,"757 Jessica Knoll, Hillton, CA 88474"
TRX-10068,83599af6-5d01-455f-a7fd-64c4a334058a,stephaniethomas@example.net,Philippines,Toys,Organic 5thgeneration capacity,1337.9,4,699.17,4652.43,Bank Transfer,Refunded,2025-09-25 20:00:00,"6909 Erika Land Suite 719, New Michael, MD 85640"
TRX-10069,1d0af7f7-f5e4-4471-bfe6-8c9c4758367b,fitzgeraldvictor@example.com,United States Minor Outlying Islands,Toys,Realigned bottom-line firmware,890.75,3,665.98,2006.27,Gift Card,Pending,2025-02-14 08:00:00,"94731 Melissa Mission Apt. 715, Jennaside, ND 38559"
TRX-10070,28524385-d9f2-4d0d-8cc9-f5f2e42e5037,laurahicks@example.org,Cook Islands,Books,Devolved disintermediate utilization,917.45,4,0.0,3669.8,PayPal,Refunded,2025-09-11 10:00:00,"957 Cheryl Corners Apt. 467, Hammondshire, CA 16927"
TRX-10071,12fc7a87-a470-4d48-9128-b9b1f8ede0ca,howens@example.com,Brunei Darussalam,Home & Garden,Vision-oriented neutral productivity,513.81,5,212.92,2356.13,PayPal,Completed,2025-01-06 16:00:00,"8018 Kevin Estates, Sarahbury, MI 68513"
TRX-10072,143029a9-d88f-4c94-88b7-63d5e519dd7e,james84@example.org,Niue,Sports,Innovative reciprocal monitoring,735.42,2,285.01,1185.83,Credit Card,Completed,2025-09-09 14:00:00,"922 Kirby Port, Port Michelleland, AZ 84577"
TRX-10073,a6b07458-43c0-4d43-93a7-4792c561b8dc,katiebutler@example.net,Antarctica (the territory South of 60 deg S),Sports,Proactive responsive moratorium,1039.22,3,345.14,2772.52,Bank Transfer,Refunded,2025-10-11 16:00:00,"3647 Haley Estate Suite 677, West Catherine, MD 94658"
TRX-10074,dc5be7d1-fcef-4972-bbf4-83ce51beb80e,theresa25@example.net,Monaco,Books,Customer-focused foreground encoding,499.53,4,0.0,1998.12,Credit Card,Pending,2025-05-09 07:00:00,"3210 Dougherty Way Suite 325, Jamesburgh, NM 67967"
TRX-10075,4efc8248-e10b-4a47-bfae-b7487781321e,zjohnson@example.net,Kuwait,Toys,Front-line didactic paradigm,806.12,2,0.0,1612.24,Bank Transfer,Completed,2025-09-05 08:00:00,"7974 Melanie Meadows, West Jessica, WV 53356"
TRX-10076,0d18ab95-668c-4477-8b95-017c5dae1201,michaelroberts@example.com,Madagascar,Home & Garden,Organized well-modulated neural-net,345.09,2,0.0,690.18,PayPal,Cancelled,2025-12-29 17:00:00,"16558 Fischer Flat, Porterton, AZ 18462"
TRX-10077,79474bfa-cdd0-44d4-9542-27deb6adf48b,ghernandez@example.org,Greece,,Seamless foreground complexity,86.52,3,9.83,249.73,Credit Card,Cancelled,2025-09-09 03:00:00,"588 Erickson Hills Suite 055, South Brandytown, PA 62706"
TRX-10078,c86c6544-a7d4-4f50-b791-f1e543f9cd6b,jennifersilva@example.org,Malta,Sports,Self-enabling uniform process improvement,514.36,1,0.0,514.36,Credit Card,Refunded,2025-09-02 03:00:00,"30913 Scott Manor Apt. 636, Salaston, VT 18599"
TRX-10079,5336723b-8f96-4685-b514-589084c86c46,ufox@example.org,Kuwait,Books,Public-key global moratorium,946.02,1,0.0,946.02,Credit Card,Pending,2025-10-16 09:00:00,"733 Grant Fork Suite 437, Timothyside, WY 95090"
TRX-10080,92cf6021-1f33-442d-89ac-908746015028,zhuang@example.com,Zimbabwe,Sports,Visionary client-server frame,911.44,5,0.0,4557.2,Gift Card,Refunded,2025-09-25 12:00:00,"7473 Maria Groves, Derrickshire, IA 32280"
TRX-10081,87f255d6-e7ba-46ac-ab7a-3d1c0cfef683,danawilliams@example.com,Greenland,Books,Universal methodical attitude,1485.1,3,0.0,4455.3,Credit Card,Pending,2025-01-31 19:00:00,"82677 Katelyn Heights, Justinton, PW 12226"
TRX-10082,88ffbd40-3b72-486d-92fa-675fa6fd0cb1,gentrygregory@example.org,Vietnam,Home & Garden,Automated hybrid toolset,992.34,2,0.0,1984.68,PayPal,Completed,2025-10-10 02:00:00,"04991 Mitchell Row Suite 287, Jamesville, MA 21799"
TRX-10083,41dc1c60-a5f6-4735-b57b-6b29bb2aa146,alexisrogers@example.com,Montenegro,Toys,Synergistic web-enabled core,892.75,3,0.0,2678.25,Bank Transfer,Refunded,2025-05-28 22:00:00,"8516 Jack Dam Suite 530, Patrickmouth, WV 35496"
TRX-10084,951c25d5-4d4c-4280-9462-52e7f43ba052,greenmichael@example.org,Bahamas,Clothing,Synchronized bottom-line Local Area Network,1386.25,5,1941.45,4989.8,PayPal,Pending,2025-08-06 03:00:00,"841 Richardson Forges Apt. 272, Adkinsstad, MT 92505"
TRX-10085,c1e1b94a-7888-4058-a9ad-0e9b8c9aa1e9,kathleenbecker@example.net,Tunisia,Clothing,Configurable multi-tasking knowledge user,111.76,2,39.9,183.62,Gift Card,Completed,2025-10-19 09:00:00,"91088 Ashley Drive Apt. 587, Lake Jamieshire, NM 12420"
TRX-10086,cf0671c7-720b-474b-82a7-f586e61d9cde,chavezwilliam@example.com,Mongolia,Home & Garden,Centralized next generation Local Area Network,1051.1,3,0.0,3153.3,Credit Card,Completed,2025-09-10 14:00:00,"064 Julie Prairie Apt. 065, New Virginialand, NJ 04660"
TRX-10087,c4db5a62-2e13-418d-a8ab-80ea497ec6d1,katiegood@example.net,Italy,Toys,Multi-layered homogeneous knowledge user,486.87,3,0.0,1460.61,Credit Card,Cancelled,2025-04-28 21:00:00,"1825 Gregory Plain Suite 823, Port Andrewport, NH 88777"
TRX-10088,882ccd1e-6c93-4791-8b60-c511b8168aeb,pmorrow@example.com,Guatemala,Clothing,Distributed even-keeled core,708.4,4,154.28,2679.32,Gift Card,Completed,2025-10-27 13:00:00,"USS Johnson, FPO AP 55451"
TRX-10089,e23ddfaa-efad-49e9-841c-147e9d6b9b62,allencarlos@example.net,Antigua and Barbuda,Sports,Organized radical service-desk,503.3,1,49.8,453.5,Bank Transfer,Refunded,2025-12-22 15:00:00,"06738 Karen Trail, East Williamport, IN 96382"
TRX-10090,991121e7-93d5-43ae-91a3-ac26937bf79b,joel28@example.org,Isle of Man,Books,Innovative even-keeled approach,59.86,1,0.0,59.86,Gift Card,Completed,2025-06-15 03:00:00,"687 Teresa Row, Floydmouth, UT 55069"
TRX-10091,605fb1eb-4cc5-4e0d-a633-20186883ac6e,karenwells@example.org,French Southern Territories,Books,Triple-buffered client-server workforce,695.65,1,0.0,695.65,Gift Card,Refunded,2025-07-05 19:00:00,"668 Paul Glens, West Deborah, NV 49138"
TRX-10092,d453f867-b97e-4224-891f-691217abb863,brettbennett@example.net,Netherlands,Clothing,Balanced asynchronous core,404.25,2,106.27,702.23,Credit Card,Completed,2025-12-24 15:00:00,"3540 Sharon Streets, Lake Yvonnefort, PW 32298"
TRX-10093,345af934-b42a-4d93-9aba-0f15b2149062,jherman@example.com,Singapore,Books,Horizontal homogeneous Local Area Network,1199.97,2,0.0,2399.94,Gift Card,Completed,2025-01-08 17:00:00,"4587 Garcia Stravenue Suite 535, Robertshire, VI 29503"
TRX-10094,42c21797-0426-4cc9-a55b-30e2bdc2b74b,mphillips@example.com,Denmark,Electronics,Multi-tiered non-volatile encryption,694.86,1,32.1,662.76,Bank Transfer,Refunded,2025-05-30 16:00:00,"7772 Jackson Stravenue Suite 280, Port Melanieton, WV 01337"
TRX-10095,a175a9c3-d7b1-42a9-a332-a50e6992896e,carloshernandez@example.org,Madagascar,Sports,Persevering holistic approach,369.38,5,0.0,1846.9,PayPal,Completed,2025-04-08 19:00:00,"700 Smith Pines Suite 840, Drakeburgh, CT 13125"
TRX-10096,31227592-3db0-4235-a61e-2555863e1f2a,lisa46@example.org,Holy See (Vatican City State),Sports,Open-architected logistical open system,513.11,5,0.0,2565.55,Bank Transfer,Refunded,2025-01-02 09:00:00,"1016 Bennett Mountains, Lake Albertburgh, CO 66018"
TRX-10097,c8cce2c2-a518-4418-af14-b3f6d867888b,ariel18@example.org,Denmark,Sports,Extended system-worthy open system,810.18,3,0.0,2430.54,Gift Card,Cancelled,2025-10-06 12:00:00,"48902 Smith Fords, Port Lori, GU 52706"
TRX-10098,299656e2-4c9d-4907-93b2-2cecedcabf94,ashleyatkinson@example.net,Ukraine,Toys,Quality-focused full-range info-mediaries,362.01,4,0.0,1448.04,Bank Transfer,Refunded,2025-07-30 01:00:00,"185 Connor Fort, West Cassiefurt, WI 43279"
TRX-10099,c8969c5b-45f8-428d-a255-e1bb07958c1f,whenry@example.net,Wallis and Futuna,Sports,Multi-tiered intermediate contingency,582.19,2,0.0,1164.38,Bank Transfer,Completed,2025-01-19 04:00:00,"94311 Moore Station Apt. 655, North Adamport, NV 47676"
TRX-10100,21ebfaa9-1a2b-469c-850f-69eec2e79a98,lopezshane@example.net,Malaysia,Sports,Open-source bi-directional algorithm,154.07,4,0.0,616.28,PayPal,Completed,2025-03-15 13:00:00,"956 Kelly Loaf, Lake Rachelbury, OK 68803"
TRX-10101,2b64777c-6177-4771-af70-de702b69c95e,josephadams@example.org,Bahrain,Home & Garden,Down-sized intermediate focus group,511.15,4,522.46,1522.14,Gift Card,Cancelled,2025-12-12 17:00:00,"54379 Stephen Dale Suite 065, Brockmouth, NV 44375"
TRX-10102,dc08bf29-d2d3-4488-90c3-00186e3cdd4f,kevinmorrison@example.net,Cook Islands,Sports,Polarized foreground conglomeration,1309.21,1,92.21,1217.0,PayPal,Completed,2025-12-17 09:00:00,"Unit 5479 Box 3564, DPO AA 48344"
